#Hernlund et al , Science,  2005     
#depth Temperature
2000 2584
2494 2697
2513 2703
2529 2715
2543 2721
2561 2727
2577 2739
2595 2752
2608 2758
2624 2770
2646 2782
2666 2806
2683 2830
2704 2867
2721 2909
2733 2945
2750 3012
2763 3079
2777 3164
2790 3261
2801 3352
2815 3473
2825 3570
2838 3709
2851 3867
2860 3982
2869 4109
2877 4218
2883 4309
2891 4388
2903 4400
2922 4406
2936 4418
2952 4430
2967 4442
2982 4448
2997 4461
3015 4473
